Set,Instance,W,H,n,density,|E_d|,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
MW,mw1_1,100,156,10,0.1,4,0,0,3656,3618,3618,2968,3240,3240,0.179657269209508,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
MW,mw1_2,100,156,10,0.17,7,0,0,3656,3405,3405,2919,2948,2948,0.14273127753303966,0.0,0,1,23,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
MW,mw1_3,100,156,10,0.25,11,0,0,3656,3039,3039,3039,3039,3039,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.001,0.0,0.0,0.001
MW,mw2_1,253,294,10,0.1,4,0,0,18075,16740,16740,15433,15433,15433,0.07807646356033453,0.0,0,1,142,142,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.037
MW,mw2_2,253,294,10,0.17,7,0,0,18075,13074,13074,12397,13074,13074,0.05178216307174545,0.0,0,1,0,1,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.011
MW,mw2_3,253,294,10,0.25,11,0,0,18075,12813,12813,11164,12813,12813,0.1286974166861781,0.0,0,1,0,1,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.009
MW,mw3_1,318,473,10,0.1,4,0,0,34032,32409,32409,30359,30359,30359,0.06325403437316794,0.0,0,1,0,0,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.032
MW,mw3_2,318,473,10,0.17,7,0,0,34032,32897,32897,27629,29899,29899,0.160136182630635,0.0,0,1,0,0,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.021
MW,mw3_3,318,473,10,0.25,11,0,0,34032,25317,25317,25317,25317,25317,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.001
MW,mw4_1,501,556,10,0.1,4,0,0,54693,51098,51098,42738,48732,48732,0.16360718619124037,0.0,0,1,0,0,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.021
MW,mw4_2,501,556,10,0.17,7,0,0,54693,52385,52385,43158,45415,45415,0.17613820750214756,0.0,0,1,58,58,0,0,0.0,0.0,0.001,0.001,0.0,0.0,0.052
MW,mw4_3,501,556,10,0.25,11,0,0,54693,46458,46458,43908,46458,46458,0.05488828619398166,0.0,0,1,0,1,0,0,0.0,0.0,0.001,0.0,0.0,0.0,0.021
MW,mw5_1,750,806,10,0.1,4,0,0,161641,160094,160094,133339,143961,143961,0.16712056666708308,0.0,0,1,0,0,0,0,0.0,0.0,0.004,0.0,0.0,0.0,0.052
MW,mw5_2,750,806,10,0.17,7,0,0,161641,155075,155075,126990,126990,126990,0.18110591649201999,0.0,0,1,57,57,0,0,0.0,0.0,0.003,0.0,0.0,0.0,0.05
MW,mw5_3,750,806,10,0.25,11,0,0,161641,126304,126304,126304,126304,126304,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.007,0.0,0.0,0.0,0.007
NGCUT,ngcut01_1,10,10,5,0.1,1,0,0,168,141,141,118,141,141,0.16312056737588654,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
NGCUT,ngcut01_2,10,10,5,0.17,1,0,0,168,118,118,118,118,118,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut01_3,10,10,5,0.25,2,0,0,168,125,125,118,118,118,0.056,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
NGCUT,ngcut02_1,10,10,7,0.1,2,0,0,206,166,166,135,138,138,0.18674698795180722,0.0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
NGCUT,ngcut02_2,10,10,7,0.17,3,0,0,206,130,130,130,130,130,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut02_3,10,10,7,0.25,5,0,0,206,148,148,148,148,148,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut03_1,10,10,10,0.1,4,0,0,241,214,214,194,194,194,0.09345794392523364,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.006
NGCUT,ngcut03_2,10,10,10,0.17,7,0,0,241,207,207,185,185,185,0.10628019323671498,0.0,0,1,5,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
NGCUT,ngcut03_3,10,10,10,0.25,11,0,0,241,183,183,183,183,183,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut04_1,15,10,5,0.1,1,0,0,207,193,193,193,193,193,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut04_2,15,10,5,0.17,1,0,0,207,173,173,173,173,173,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut04_3,15,10,5,0.25,2,0,0,207,146,146,146,146,146,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut05_1,15,10,7,0.1,2,0,0,296,263,263,226,227,227,0.14068441064638784,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
NGCUT,ngcut05_2,15,10,7,0.17,3,0,0,296,263,263,251,251,251,0.045627376425855515,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.003
NGCUT,ngcut05_3,15,10,7,0.25,5,0,0,296,233,233,233,233,233,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCUT,ngcut06_1,15,10,10,0.1,4,0,0,309,268,268,222,238,238,0.17164179104477612,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
NGCUT,ngcut06_2,15,10,10,0.17,7,0,0,309,279,279,204,250,250,0.26881720430107525,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.007
NGCUT,ngcut06_3,15,10,10,0.25,11,0,0,309,225,225,179,225,225,0.20444444444444446,0.0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004
NGCUT,ngcut07_1,20,20,5,0.1,1,0,0,374,370,370,370,370,370,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
