Set,Instance,W,H,n,density,|E_d|,|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
NGCUT,ngcut05_2,15,10,7,0.17,3,0,0,262,251,251,251,251,251,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut05_3,15,10,7,0.25,5,0,0,262,233,233,233,233,233,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut06_1,15,10,10,0.1,4,0,0,309,268,268,222,238,238,0.171641791,0,0,1,36,40,5,1,0,0,0,0,0,0,0
NGCUT,ngcut06_2,15,10,10,0.17,7,0,0,309,279,279,204,250,250,0.268817204,0,0,1,15,16,3,0,0,0,0,0,0,0,0
NGCUT,ngcut06_3,15,10,10,0.25,11,0,0,309,225,225,179,225,225,0.204444444,0,0,1,0,5,2,0,0,0,0,0,0,0,0
NGCUT,ngcut07_1,20,20,5,0.1,1,0,0,374,370,370,370,370,370,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut07_2,20,20,5,0.17,1,0,0,374,348,348,348,348,348,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut07_3,20,20,5,0.25,2,0,0,374,370,370,370,370,370,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut08_1,20,20,7,0.1,2,5,1,673,635,635,610,635,635,0.039370079,0,0,1,0,1,1,0,0,0,0,0,0,0,0
NGCUT,ngcut08_2,20,20,7,0.17,3,0,0,673,610,610,610,610,610,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut08_3,20,20,7,0.25,5,0,0,673,358,358,358,358,358,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut09_1,20,20,10,0.1,4,2,1,851,841,841,804,804,804,0.043995244,0,0,1,101,105,5,0,0,0,0,0,0,0,0
NGCUT,ngcut09_2,20,20,10,0.17,7,0,1,851,779,779,712,712,712,0.086007702,0,0,1,100,104,6,0,0,0,0,0,0,0,0
NGCUT,ngcut09_3,20,20,10,0.25,11,0,1,851,726,726,681,681,681,0.061983471,0,0,1,28,29,1,0,0,0,0,0,0,0,0
NGCUT,ngcut10_1,30,30,5,0.1,1,0,0,998,763,763,763,763,763,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut10_2,30,30,5,0.17,1,0,0,998,0,998,998,998,998,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut10_3,30,30,5,0.25,2,0,0,998,763,763,763,763,763,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut11_1,30,30,7,0.1,2,3,2,1439,1358,1358,1114,1114,1114,0.179675994,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut11_2,30,30,7,0.17,3,0,0,1439,1077,1077,1077,1077,1077,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut11_3,30,30,7,0.25,5,0,0,1439,872,872,872,872,872,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
NGCUT,ngcut12_1,30,30,10,0.1,4,0,0,1799,1541,1541,1302,1302,1302,0.155094095,0,0,1,104,112,10,0,0,0,0,0,0,0,0
NGCUT,ngcut12_2,30,30,10,0.17,7,1,3,1799,1531,1531,1272,1272,1272,0.169170477,0,0,1,32,36,6,0,0,0,0,0,0,0,0
NGCUT,ngcut12_3,30,30,10,0.25,11,0,0,1799,1402,1402,1179,1179,1179,0.159058488,0,0,1,72,76,4,0,0,0,0,0,0,0,0
OKP,okp1_1,100,100,15,0.1,10,0,1,26658,25008,25008,21346,22048,22048,0.146433141,0,0,1,122,146,33,0,0,0,0,0,0,0,0
OKP,okp1_2,100,100,15,0.17,17,0,0,26658,18099,18099,17763,17763,17763,0.018564562,0,0,1,170,172,2,0,0,0,0,0,0,0,0
OKP,okp1_3,100,100,15,0.25,26,0,0,26658,17771,17771,16422,16422,16422,0.075910191,0,0,1,88,90,2,1,0.017,0,0,0,0,0,0.017
OKP,okp2_1,100,100,30,0.1,43,0,0,24738,22296,22296,20892,20892,20892,0.062970936,0,0,1,9655,9909,372,4,0.016,0,0,0,0,0,0.032
OKP,okp2_2,100,100,30,0.17,73,0,0,24738,22188,22188,19965,20484,20484,0.100189292,0,0,1,3296,3444,246,21,0.032,0,0,0,0,0.016,0.048
OKP,okp2_3,100,100,30,0.25,108,0,0,24738,21652,21652,18641,19545,19545,0.139063366,0,0,1,2520,2702,280,27,0.047,0.032,0,0,0,0.016,0.063
OKP,okp3_1,100,100,30,0.1,43,0,0,26565,25656,25656,22801,23196,23196,0.111280012,0,0,1,63832,65313,2583,31,0.063,0.032,0,0,0,0.016,0.079
OKP,okp3_2,100,100,30,0.17,73,0,0,26565,25082,25082,22531,22531,22531,0.101706403,0,0,1,16208,17078,1099,15,0.015,0,0,0,0.016,0,0.047
OKP,okp3_3,100,100,30,0.25,108,0,1,26565,24785,24785,22531,22531,22531,0.090942102,0,0,1,6163,6477,419,4,0.015,0,0,0,0,0,0.015
OKP,okp4_1,100,100,33,0.1,52,0,0,28798,28788,28788,25474,25474,25474,0.11511741,0,0,1,62688,70443,9012,75,0.174,0.063,0,0,0,0.015,0.189
OKP,okp4_2,100,100,33,0.17,89,0,0,28798,27001,27001,24119,24695,24695,0.106736788,0,0,1,5310,5713,681,8,0.016,0,0,0,0,0.015,0.031
OKP,okp4_3,100,100,33,0.25,132,0,0,28798,27227,27227,23150,23264,23264,0.149741066,0,0,1,2201,2356,199,12,0.016,0.016,0,0,0.016,0,0.032
OKP,okp5_1,100,100,29,0.1,40,0,0,24738,23424,23424,19836,20344,20344,0.15317623,0,0,1,37370,39651,3251,492,1.265,0.827,0,0,0,0,1.267
OKP,okp5_2,100,100,29,0.17,69,0,0,24738,22744,22744,19536,19766,19766,0.141048189,0,0,1,7708,8149,564,34,0.067,0.049,0,0,0,0,0.067
OKP,okp5_3,100,100,29,0.25,101,0,0,24738,21030,21030,18209,18215,18215,0.134141702,0,0,1,3800,3998,241,18,0.026,0.008,0,0.004,0,0,0.03
UW,uw1_1,500,500,25,0.1,30,0,1,4722,4128,4128,3794,3973,3973,0.080910853,0,0,1,157,163,7,1,0.004,0.002,0.01,0,0,0,0.014
UW,uw1_2,500,500,25,0.17,51,0,0,4722,3564,3564,3249,3258,3258,0.088383838,0,0,1,467,489,30,1,0,0,0,0,0,0,0
UW,uw1_3,500,500,25,0.25,75,0,0,4722,3366,3366,3169,3360,3360,0.058526441,0,0,1,186,187,2,0,0,0,0.003,0,0,0,0.003
UW,uw2_1,560,750,35,0.1,59,0,2,5647,5277,5277,4857,5019,5019,0.079590677,0,0,1,586,603,26,6,0.091,0.087,0.018,0,0,0,0.109
UW,uw2_2,560,750,35,0.17,101,0,0,5647,5134,5134,4372,4784,4784,0.148422283,0,0,1,1093,1121,53,19,0.237,0.222,0,0,0,0,0.237
UW,uw2_3,560,750,35,0.25,148,0,0,5647,4571,4571,3976,4571,4571,0.130168453,0,0,1,21,29,1,0,0,0,0.008,0,0.002,0,0.01
UW,uw3_1,700,650,35,0.1,59,0,2,4382,3686,3686,3411,3481,3481,0.07460662,0,0,1,1679,1751,74,11,0.119,0.117,0.005,0,0.002,0,0.126
UW,uw3_2,700,650,35,0.17,101,0,0,4382,3549,3549,3126,3222,3222,0.119188504,0,0,1,3011,3180,189,15,0.15,0.134,0.01,0,0,0,0.16
UW,uw3_3,700,650,35,0.25,148,0,1,4382,3635,3635,3297,3297,3297,0.092984869,0,0,1,688,725,42,3,0.028,0.023,0.004,0,0,0,0.032
UW,uw4_1,1245,1015,45,0.1,99,0,3,6307,5888,5888,5140,5594,5594,0.127038043,0,0,1,1659,1719,100,14,0.528,0.488,0.023,0,0.006,0,0.557
UW,uw4_2,1245,1015,45,0.17,168,0,6,6307,6109,6109,5432,5634,5634,0.110820101,0,0,1,1258,1312,80,7,0.27,0.267,0.021,0,0,0,0.291
UW,uw4_3,1245,1015,45,0.25,247,0,0,6307,4940,4940,4314,4522,4522,0.126720648,0,0,1,1804,1874,119,15,0.425,0.416,0.029,0,0.002,0,0.456
UW,uw5_1,1100,1450,35,0.1,59,0,5,5067,4682,4682,4291,4291,4291,0.08351132,0,0,1,1958,2032,88,15,0.525,0.49,0.011,0,0,0,0.536
UW,uw5_2,1100,1450,35,0.17,101,0,4,5067,4501,4501,4217,4217,4217,0.06309709,0,0,1,464,479,15,0,0,0,0.022,0,0.001,0,0.023
UW,uw5_3,1100,1450,35,0.25,148,0,0,5067,3894,3894,3667,3701,3701,0.058294813,0,0,1,389,395,7,1,0.031,0.031,0.016,0,0,0,0.047
UW,uw6_1,1750,1542,47,0.1,108,0,11,5480,5241,5241,4741,5040,5040,0.095401641,0,0,1,1183,1210,46,2,0.173,0.169,0.032,0,0.016,0,0.221
UW,uw6_2,1750,1542,47,0.17,183,0,10,5480,5132,5132,4656,4708,4708,0.092751364,0,0,1,916,944,43,7,0.538,0.524,0.042,0,0,0,0.58
UW,uw6_3,1750,1542,47,0.25,270,0,2,5480,4670,4670,4195,4229,4229,0.101713062,0,0,1,1782,1847,105,5,0.231,0.222,0.044,0,0,0,0.275
UW,uw7_1,2250,1875,50,0.1,122,0,2,6688,5963,5963,5502,5648,5648,0.077310079,0,0,1,1325,1391,87,7,0.82,0.797,0.063,0,0,0,0.904
UW,uw7_2,2250,1875,50,0.17,208,0,0,6688,5606,5606,4975,5305,5305,0.112557974,0,0,1,375,392,26,3,0.356,0.354,0.057,0,0.016,0,0.43
UW,uw7_3,2250,1875,50,0.25,306,0,0,6688,5288,5288,4945,4989,4989,0.064863843,0,0,1,628,648,21,3,0.317,0.313,0.075,0,0,0,0.392
UW,uw8_1,2645,2763,55,0.1,148,0,7,6165,5867,5867,5326,5600,5600,0.09221067,0,0,1,848,881,55,19,5.004,4.954,0.181,0,0,0,5.188
UW,uw8_2,2645,2763,55,0.17,252,0,0,6165,4991,4991,4699,4750,4750,0.05850531,0,0,1,1109,1156,49,2,0.4,0.38,0.188,0,0.003,0,0.594
UW,uw8_3,2645,2763,55,0.25,371,0,0,6165,4743,4743,4396,4396,4396,0.073160447,0,0,1,1108,1126,25,0,0,0,0.186,0,0,0,0.186
UW,uw9_1,3000,3250,45,0.1,99,0,5,4827,4434,4434,4007,4113,4113,0.096301308,0,0,1,5022,5196,208,6,1.324,1.292,0.19,0,0,0,1.516
UW,uw9_2,3000,3250,45,0.17,168,0,6,4827,4688,4688,4167,4198,4198,0.111134812,0,0,1,9221,9557,438,32,6.166,6.029,0.194,0,0.002,0,6.362
UW,uw9_3,3000,3250,45,0.25,247,0,0,4827,3938,3938,3453,3694,3694,0.123158964,0,0,1,439,456,25,1,0.215,0.209,0.192,0,0.002,0,0.422
UW,uw10_1,3500,3650,60,0.1,177,0,11,6471,6134,6134,5446,5680,5680,0.112161722,0,0,1,4590,4737,213,18,6.703,6.644,0.335,0,0.016,0,7.059
UW,uw10_2,3500,3650,60,0.17,300,0,2,6471,5625,5625,4839,5201,5201,0.139733333,0,0,1,2621,2685,116,17,5.608,5.576,0.337,0,0.012,0,5.97
UW,uw10_3,3500,3650,60,0.25,442,0,0,6471,5162,5162,4515,4717,4717,0.125339016,0,0,1,1859,1910,75,5,1.439,1.385,0.344,0,0.002,0,1.789
UW,uw11_1,555,632,30,0.1,43,0,1,6987,5786,5786,5207,5545,5545,0.100069132,0,0,1,698,712,26,15,0.527,0.497,0.008,0,0.002,0,0.537
UW,uw11_2,555,632,30,0.17,73,0,0,6987,5717,5717,5267,5452,5452,0.078712612,0,0,1,508,516,13,10,0.321,0.298,0.004,0.001,0.001,0,0.327
UW,uw11_3,555,632,30,0.25,108,0,1,6987,5175,5175,4655,5015,5015,0.100483092,0,0,1,277,280,5,2,0.048,0.045,0.003,0.001,0.001,0,0.053
