Class,id,W,H,n,|E_d|,|E_s|,|SR|,|E_d|',|E_s|',|SR|',|I_in|,|I_out|,UB0-KP,UB0-LS,UB0,LB0,UB,LB,Gap0,Gap,Opt0,Opt,Violate-Dif,Violate-Same,Value-Error,Nodes',Nodes,#OPP,#EOPP,Time-OPP,Time-EOPP,Time-UB0-KP,Time-UB0-LS,Time-LB0,Time-Red,Time
Class02,19,30,30,40,0,0,0,0,0,0,0,0,3800000000000,3800000000000,3800000000000,3700000000000,3800000000000,3800000000000,0.02631578947368421,0.0,0,1,0,0,0,0,38,1,0,0.001,0.0,0.0,0.001,0.006,0.0,0.008
Class02,20,30,30,40,0,0,0,0,0,0,0,0,3700000000000,0,3700000000000,3700000000000,3700000000000,3700000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.002,0.0,0.002
Class02,21,30,30,60,0,0,0,0,0,0,0,0,4400000000000,4400000000000,4400000000000,4300000000000,4400000000000,4400000000000,0.022727272727272728,0.0,0,1,0,0,0,0,44,1,0,0.002,0.0,0.0,0.002,0.005,0.0,0.01
Class02,22,30,30,60,0,0,0,0,0,0,0,0,118717655039,0,118717655039,118236600528,118717655039,118717655039,0.004052089058211001,0.0,0,1,0,0,0,98,134,2,1,2.215,2.109,0.0,0.281,6.549,0.0,9.045
Class02,23,30,30,60,0,0,0,0,0,0,0,0,4400000000000,0,4400000000000,4400000000000,4400000000000,4400000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.008,0.0,0.008
Class02,24,30,30,60,0,0,0,0,0,0,0,0,4500000000000,0,4500000000000,4500000000000,4500000000000,4500000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.008,0.0,0.008
Class02,25,30,30,60,0,0,209,0,0,209,0,0,2976243025517,0,2976243025517,1637948083488,1637948083488,1637948083488,0.4496591610816211,0.0,0,1,0,0,0,536196996,536196996,0,0,0.0,0.0,0.0,1.123,7.427,0.0,40.358
Class02,26,30,30,60,0,0,0,0,0,0,0,0,4700000000000,4700000000000,4700000000000,4600000000000,4700000000000,4700000000000,0.02127659574468085,0.0,0,1,0,0,0,0,47,1,0,0.003,0.0,0.0,0.002,0.012,0.0,0.017
Class02,27,30,30,60,0,0,0,0,0,0,0,0,5100000000000,0,5100000000000,5100000000000,5100000000000,5100000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.006,0.0,0.006
Class02,28,30,30,60,0,0,0,0,0,0,0,0,4400000000000,0,4400000000000,4400000000000,4400000000000,4400000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.006,0.0,0.006
Class02,29,30,30,60,0,0,283,0,0,283,0,0,3307271839287,0,3307271839287,1569780449884,1859362348117,1569780449884,0.5253548767184429,0.1557425848309036,0,0,0,0,0,33861971102,33861971142,0,0,0.0,0.0,0.001,0.918,7.667,0.0,1800.0
Class02,30,30,30,60,0,0,0,0,0,0,0,0,4100000000000,4100000000000,4100000000000,4000000000000,4100000000000,4100000000000,0.024390243902439025,0.0,0,1,0,0,0,0,41,1,0,0.004,0.0,0.0,0.002,0.012,0.0,0.018
Class02,31,30,30,80,0,0,0,0,0,0,0,0,5400000000000,5400000000000,5400000000000,5300000000000,5400000000000,5400000000000,0.018518518518518517,0.0,0,1,0,0,0,0,54,1,0,0.0,0.0,0.001,0.004,0.034,0.0,0.039
Class02,32,30,30,80,0,0,211,0,0,211,0,0,1572052914357,0,1572052914357,762490836490,764876804007,764876804007,0.5149712649450648,0.0,0,1,0,0,0,1541868453,1541868453,3,0,0.001,0.0,0.0,0.697,7.044,0.0,91.984
Class02,33,30,30,80,0,0,0,0,0,0,0,0,5600000000000,0,5600000000000,5600000000000,5600000000000,5600000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.019,0.0,0.019
Class02,34,30,30,80,0,0,45,0,0,45,0,0,2397403846145,1295288461536,1295288461536,1295288461536,1295288461536,1295288461536,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.529,1.668,0.0,2.197
Class02,35,30,30,80,0,0,230,0,0,230,0,0,1022933961642,0,1022933961642,612522356329,616933864228,616933864228,0.401210264496657,0.0,0,1,0,0,0,140606952,140606952,3,0,0.048,0.0,0.0,0.876,7.836,0.0,16.36
Class02,36,30,30,80,0,0,214,0,0,214,0,0,763678409166,0,763678409166,407629262220,413125799711,413125799711,0.46622916488477806,0.0,0,1,0,0,0,73974550,73974550,5,5,330.766,330.699,0.001,0.758,7.449,0.0,343.723
Class02,37,30,30,80,0,0,277,0,0,277,0,0,1352547708965,0,1352547708965,644760208297,762724791740,644760208297,0.5232994710475795,0.1546620546762195,0,0,0,0,0,121862115,121862188,1,1,1783.241,1783.186,0.0,0.967,7.866,0.0,1800.0
Class02,38,30,30,80,0,0,282,0,0,282,0,0,4187641628611,0,4187641628611,2095230921078,2095230921078,2095230921078,0.49966326947299744,0.0,0,1,0,0,0,18289288415,18289288415,0,0,0.0,0.0,0.0,0.921,7.437,0.0,1378.028
Class02,39,30,30,80,0,0,0,0,0,0,0,0,4900000000000,0,4900000000000,4900000000000,4900000000000,4900000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.002,0.0,0.186,0.0,0.188
Class02,40,30,30,80,0,0,157,0,0,157,0,0,543972337737,0,543972337737,402241286786,425863128607,402241286786,0.2605482689443745,0.05546815451778401,0,0,0,0,0,25703999,25704034,1,1,1788.466,1788.441,0.002,1.365,8.591,0.0,1800.0
Class02,41,30,30,100,0,0,0,0,0,0,0,0,6300000000000,0,6300000000000,6300000000000,6300000000000,6300000000000,0.0,0.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.043,0.0,0.043
Class02,42,30,30,100,0,0,170,0,0,170,0,0,2199221556120,0,2199221556120,1211225945824,1217657787683,1217657787683,0.44924787479760875,0.0,0,1,0,0,0,3231102,3231102,3,1,0.546,0.525,0.001,0.816,7.707,0.0,9.267
Class02,43,30,30,100,0,0,0,0,0,0,0,0,121264677944,0,121264677944,120695070684,121264677944,121264677944,0.004697223211717468,0.0,0,1,0,0,0,264,307,3,0,0.229,0.0,0.0,0.353,7.116,0.0,7.698
Class02,44,30,30,100,0,0,0,0,0,0,0,0,6100000000000,6100000000000,6100000000000,6000000000000,6100000000000,6100000000000,0.01639344262295082,0.0,0,1,0,0,0,0,61,1,0,0.007,0.0,0.0,0.005,0.054,0.0,0.066
Class02,45,30,30,100,0,0,183,0,0,183,0,0,2620164747958,0,2620164747958,2151852938021,2152267583667,2152267583667,0.1787337266872147,0.0,0,1,0,0,0,1005307,1005307,1,0,0.0,0.0,0.001,0.976,13.402,0.0,14.435
Class02,46,30,30,100,0,0,141,0,0,141,0,0,2625755880259,0,2625755880259,1617817718613,1785807412219,1617817718613,0.38386590666097214,0.09406932262491853,0,0,0,0,0,3329634,3329689,1,1,1789.733,1789.704,0.0,1.294,8.807,0.0,1800.0
Class02,47,30,30,100,0,0,0,0,0,0,0,0,6800000000000,6800000000000,6800000000000,6700000000000,6800000000000,6800000000000,0.014705882352941176,0.0,0,1,0,0,0,0,68,1,0,0.0,0.0,0.0,0.004,0.037,0.0,0.041
Class02,48,30,30,100,0,0,254,0,0,254,0,0,3851776297280,0,3851776297280,3109027158146,3120907338847,3120907338847,0.19283288587099554,0.0,0,1,0,0,0,2986554,2986554,5,0,0.018,0.0,0.0,1.587,8.255,0.0,10.063
Class02,49,30,30,100,0,0,0,0,0,0,0,0,6400000000000,6400000000000,6400000000000,6300000000000,6400000000000,6400000000000,0.015625,0.0,0,1,0,0,0,0,64,1,0,0.0,0.0,0.001,0.003,0.037,0.0,0.041
