type,instance,W,H,m,n,exploredNodes,generatedNodes,liftCnt,addCutCnt,infeasibleSetSize,checkCnt,opt,feasible,time
MSB-450,OPP_2D_15_2s_4I_6W,100,100,15,15,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_15_2s_4I_8W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_5I_0W,100,100,15,15,951,1399,13,13,146,3056,1,1,0.546
MSB-450,OPP_2D_15_2s_5I_10W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_5I_20W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_5I_2W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_5I_30W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_5I_40W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_5I_4W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_5I_6W,100,100,15,15,0,0,0,0,0,0,1,1,0.002
MSB-450,OPP_2D_15_2s_5I_8W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_6I_0W,100,100,15,15,85786,85786,0,0,0,0,1,0,20.824
MSB-450,OPP_2D_15_2s_6I_10W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_6I_20W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_6I_2W,100,100,15,15,241,313,0,0,0,0,1,1,0.132
MSB-450,OPP_2D_15_2s_6I_30W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_6I_40W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_6I_4W,100,100,15,15,477,585,0,0,0,0,1,1,0.176
MSB-450,OPP_2D_15_2s_6I_6W,100,100,15,15,0,0,0,0,0,0,1,1,0.001
MSB-450,OPP_2D_15_2s_6I_8W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_7I_0W,100,100,15,15,65412,65412,0,0,0,0,1,0,37.941
MSB-450,OPP_2D_15_2s_7I_10W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
MSB-450,OPP_2D_15_2s_7I_20W,100,100,15,15,0,0,0,0,0,0,1,1,0.0
